Image1,Image2,Chosen,NotChosen,Rank_diff
66.jpg,166.jpg,66.jpg,166.jpg,0.9479768786127167
74.jpg,86.jpg,86.jpg,74.jpg,1.560693641618497
99.jpg,152.jpg,152.jpg,99.jpg,1.5491329479768785
149.jpg,102.jpg,149.jpg,102.jpg,1.5260115606936415
44.jpg,18.jpg,44.jpg,18.jpg,1.5375722543352601
75.jpg,41.jpg,75.jpg,41.jpg,1.0173410404624277
59.jpg,25.jpg,25.jpg,59.jpg,0.5202312138728323
36.jpg,95.jpg,95.jpg,36.jpg,0.4508670520231214
27.jpg,154.jpg,27.jpg,154.jpg,1.5260115606936415
3.jpg,37.jpg,3.jpg,37.jpg,0.8554913294797688
84.jpg,125.jpg,84.jpg,125.jpg,1.3526011560693643
49.jpg,161.jpg,49.jpg,161.jpg,1.4450867052023122
19.jpg,13.jpg,19.jpg,13.jpg,1.0635838150289016
41.jpg,164.jpg,164.jpg,41.jpg,0.5086705202312138
36.jpg,63.jpg,63.jpg,36.jpg,1.329479768786127
170.jpg,127.jpg,170.jpg,127.jpg,0.8554913294797688
162.jpg,39.jpg,162.jpg,39.jpg,0.4508670520231214
33.jpg,136.jpg,33.jpg,136.jpg,1.4104046242774566
52.jpg,163.jpg,163.jpg,52.jpg,1.329479768786127
148.jpg,164.jpg,148.jpg,164.jpg,1.3872832369942196
26.jpg,4.jpg,26.jpg,4.jpg,1.4104046242774566
111.jpg,144.jpg,111.jpg,144.jpg,1.2947976878612717
78.jpg,38.jpg,78.jpg,38.jpg,1.3757225433526012
48.jpg,134.jpg,134.jpg,48.jpg,1.2254335260115607
152.jpg,54.jpg,152.jpg,54.jpg,0.21965317919075145
69.jpg,1.jpg,1.jpg,69.jpg,0.15028901734104047
95.jpg,155.jpg,95.jpg,155.jpg,0.5317919075144508
10.jpg,83.jpg,10.jpg,83.jpg,0.11560693641618497
3.jpg,43.jpg,3.jpg,43.jpg,0.8208092485549133
131.jpg,106.jpg,106.jpg,131.jpg,1.2716763005780347
96.jpg,93.jpg,96.jpg,93.jpg,1.2485549132947977
140.jpg,103.jpg,140.jpg,103.jpg,0.7398843930635838
48.jpg,67.jpg,48.jpg,67.jpg,1.3757225433526012
144.jpg,135.jpg,135.jpg,144.jpg,0.6589595375722543
11.jpg,74.jpg,11.jpg,74.jpg,0.15028901734104047
50.jpg,23.jpg,23.jpg,50.jpg,1.1791907514450868
133.jpg,6.jpg,6.jpg,133.jpg,1.2138728323699421
43.jpg,140.jpg,43.jpg,140.jpg,1.0173410404624277
104.jpg,173.jpg,173.jpg,104.jpg,1.0404624277456647
131.jpg,93.jpg,131.jpg,93.jpg,0.5664739884393064
161.jpg,143.jpg,161.jpg,143.jpg,1.2485549132947977
172.jpg,95.jpg,95.jpg,172.jpg,0.12716763005780346
151.jpg,76.jpg,151.jpg,76.jpg,1.2485549132947977
22.jpg,122.jpg,22.jpg,122.jpg,1.260115606936416
65.jpg,157.jpg,65.jpg,157.jpg,1.283236994219653
135.jpg,92.jpg,92.jpg,135.jpg,1.2023121387283238
23.jpg,51.jpg,23.jpg,51.jpg,0.8439306358381503
161.jpg,106.jpg,161.jpg,106.jpg,0.9364161849710982
129.jpg,27.jpg,27.jpg,129.jpg,0.28901734104046245
76.jpg,143.jpg,76.jpg,143.jpg,1.2138728323699421
55.jpg,110.jpg,55.jpg,110.jpg,1.2254335260115607
14.jpg,139.jpg,14.jpg,139.jpg,0.7398843930635838
26.jpg,135.jpg,26.jpg,135.jpg,0.6936416184971098
94.jpg,92.jpg,94.jpg,92.jpg,1.1098265895953756
53.jpg,43.jpg,43.jpg,53.jpg,0.4393063583815029
132.jpg,80.jpg,80.jpg,132.jpg,1.0520231213872833
162.jpg,166.jpg,166.jpg,162.jpg,1.3872832369942196
48.jpg,35.jpg,35.jpg,48.jpg,1.1329479768786128
140.jpg,168.jpg,168.jpg,140.jpg,0.9132947976878613
46.jpg,167.jpg,46.jpg,167.jpg,0.9364161849710982
20.jpg,27.jpg,20.jpg,27.jpg,0.6820809248554913
126.jpg,22.jpg,22.jpg,126.jpg,0.8439306358381503
154.jpg,132.jpg,154.jpg,132.jpg,0.9942196531791907
65.jpg,96.jpg,96.jpg,65.jpg,1.0982658959537572
98.jpg,113.jpg,113.jpg,98.jpg,0.31213872832369943
172.jpg,40.jpg,172.jpg,40.jpg,0.6705202312138728
25.jpg,136.jpg,25.jpg,136.jpg,0.30057803468208094
27.jpg,160.jpg,27.jpg,160.jpg,0.8786127167630058
111.jpg,61.jpg,111.jpg,61.jpg,0.5549132947976878
63.jpg,17.jpg,63.jpg,17.jpg,0.8786127167630058
122.jpg,35.jpg,35.jpg,122.jpg,0.49710982658959535
1.jpg,45.jpg,1.jpg,45.jpg,0.8208092485549133
42.jpg,68.jpg,42.jpg,68.jpg,0.3930635838150289
83.jpg,82.jpg,83.jpg,82.jpg,0.6242774566473989
132.jpg,165.jpg,165.jpg,132.jpg,0.21965317919075145
10.jpg,30.jpg,30.jpg,10.jpg,0.6127167630057804
31.jpg,107.jpg,31.jpg,107.jpg,1.0057803468208093
51.jpg,33.jpg,33.jpg,51.jpg,0.6358381502890174
94.jpg,71.jpg,94.jpg,71.jpg,0.4393063583815029
50.jpg,80.jpg,80.jpg,50.jpg,0.4624277456647399
166.jpg,21.jpg,166.jpg,21.jpg,0.7976878612716763
55.jpg,47.jpg,47.jpg,55.jpg,1.1213872832369942
113.jpg,16.jpg,113.jpg,16.jpg,0.5317919075144508
3.jpg,53.jpg,3.jpg,53.jpg,0.17341040462427745
101.jpg,118.jpg,118.jpg,101.jpg,0.9710982658959537
35.jpg,152.jpg,35.jpg,152.jpg,0.2658959537572254
49.jpg,115.jpg,115.jpg,49.jpg,1.1098265895953756
140.jpg,83.jpg,140.jpg,83.jpg,0.49710982658959535
9.jpg,139.jpg,9.jpg,139.jpg,0.5895953757225434
39.jpg,104.jpg,104.jpg,39.jpg,1.1213872832369942
93.jpg,14.jpg,14.jpg,93.jpg,0.2658959537572254
112.jpg,131.jpg,112.jpg,131.jpg,0.4046242774566474
66.jpg,110.jpg,66.jpg,110.jpg,0.23121387283236994
149.jpg,17.jpg,149.jpg,17.jpg,0.5433526011560693
15.jpg,83.jpg,15.jpg,83.jpg,0.47398843930635837
113.jpg,23.jpg,23.jpg,113.jpg,0.3583815028901734
145.jpg,118.jpg,118.jpg,145.jpg,0.4277456647398844
79.jpg,14.jpg,14.jpg,79.jpg,0.13872832369942195
131.jpg,62.jpg,62.jpg,131.jpg,0.9017341040462428
51.jpg,50.jpg,50.jpg,51.jpg,0.6358381502890174
26.jpg,94.jpg,26.jpg,94.jpg,0.3930635838150289
42.jpg,155.jpg,42.jpg,155.jpg,0.6011560693641619
110.jpg,166.jpg,166.jpg,110.jpg,0.4161849710982659
24.jpg,37.jpg,24.jpg,37.jpg,0.4046242774566474
117.jpg,135.jpg,135.jpg,117.jpg,0.6936416184971098
139.jpg,70.jpg,70.jpg,139.jpg,0.5086705202312138
18.jpg,122.jpg,18.jpg,122.jpg,0.5433526011560693
160.jpg,82.jpg,160.jpg,82.jpg,0.6242774566473989
98.jpg,62.jpg,62.jpg,98.jpg,0.4277456647398844
49.jpg,31.jpg,31.jpg,49.jpg,0.4508670520231214
117.jpg,8.jpg,8.jpg,117.jpg,0.5317919075144508
65.jpg,107.jpg,65.jpg,107.jpg,0.8786127167630058
42.jpg,26.jpg,26.jpg,42.jpg,0.28901734104046245
84.jpg,30.jpg,30.jpg,84.jpg,0.31213872832369943
150.jpg,144.jpg,150.jpg,144.jpg,0.2774566473988439
135.jpg,152.jpg,152.jpg,135.jpg,0.7167630057803468
136.jpg,94.jpg,94.jpg,136.jpg,0.2774566473988439
168.jpg,43.jpg,168.jpg,43.jpg,0.6358381502890174
162.jpg,52.jpg,162.jpg,52.jpg,0.5202312138728323
74.jpg,66.jpg,66.jpg,74.jpg,0.16184971098265896
17.jpg,71.jpg,71.jpg,17.jpg,0.7514450867052023
157.jpg,169.jpg,169.jpg,157.jpg,0.3468208092485549
65.jpg,14.jpg,14.jpg,65.jpg,0.11560693641618497
113.jpg,79.jpg,113.jpg,79.jpg,0.47398843930635837
146.jpg,13.jpg,13.jpg,146.jpg,0.8092485549132948
64.jpg,165.jpg,165.jpg,64.jpg,0.3815028901734104
148.jpg,83.jpg,148.jpg,83.jpg,0.19653179190751446
99.jpg,138.jpg,99.jpg,138.jpg,0.5433526011560693
76.jpg,173.jpg,173.jpg,76.jpg,0.6936416184971098
170.jpg,47.jpg,47.jpg,170.jpg,0.3236994219653179
75.jpg,139.jpg,75.jpg,139.jpg,0.2658959537572254
73.jpg,122.jpg,122.jpg,73.jpg,0.9479768786127167
14.jpg,6.jpg,6.jpg,14.jpg,0.4277456647398844
22.jpg,70.jpg,22.jpg,70.jpg,0.3236994219653179
103.jpg,45.jpg,45.jpg,103.jpg,0.49710982658959535
152.jpg,99.jpg,152.jpg,99.jpg,0.4508670520231214
113.jpg,27.jpg,27.jpg,113.jpg,0.3583815028901734
109.jpg,133.jpg,109.jpg,133.jpg,0.4393063583815029
124.jpg,43.jpg,43.jpg,124.jpg,0.7630057803468208
121.jpg,105.jpg,121.jpg,105.jpg,0.9017341040462428
6.jpg,97.jpg,6.jpg,97.jpg,0.21965317919075145
166.jpg,104.jpg,166.jpg,104.jpg,0.6473988439306358
45.jpg,125.jpg,45.jpg,125.jpg,0.7861271676300579
91.jpg,49.jpg,91.jpg,49.jpg,0.7514450867052023
164.jpg,54.jpg,164.jpg,54.jpg,0.7167630057803468
153.jpg,36.jpg,153.jpg,36.jpg,0.5202312138728323
159.jpg,106.jpg,159.jpg,106.jpg,0.6473988439306358
31.jpg,76.jpg,31.jpg,76.jpg,0.2774566473988439
121.jpg,100.jpg,100.jpg,121.jpg,0.8554913294797688
135.jpg,157.jpg,135.jpg,157.jpg,0.5433526011560693
115.jpg,123.jpg,123.jpg,115.jpg,0.7630057803468208
117.jpg,118.jpg,118.jpg,117.jpg,0.18497109826589594
64.jpg,112.jpg,64.jpg,112.jpg,0.7745664739884393
40.jpg,76.jpg,76.jpg,40.jpg,0.6936416184971098
145.jpg,77.jpg,145.jpg,77.jpg,0.4046242774566474
37.jpg,33.jpg,33.jpg,37.jpg,0.20809248554913296
138.jpg,111.jpg,111.jpg,138.jpg,0.2543352601156069
79.jpg,149.jpg,79.jpg,149.jpg,0.6820809248554913
25.jpg,152.jpg,25.jpg,152.jpg,0.3352601156069364
120.jpg,70.jpg,70.jpg,120.jpg,0.6473988439306358
101.jpg,36.jpg,101.jpg,36.jpg,0.3583815028901734
98.jpg,105.jpg,98.jpg,105.jpg,0.3583815028901734
57.jpg,139.jpg,57.jpg,139.jpg,0.3236994219653179
81.jpg,68.jpg,68.jpg,81.jpg,0.47398843930635837
41.jpg,25.jpg,25.jpg,41.jpg,0.011560693641618497
1.jpg,163.jpg,1.jpg,163.jpg,0.5317919075144508
94.jpg,39.jpg,94.jpg,39.jpg,0.28901734104046245
120.jpg,136.jpg,120.jpg,136.jpg,0.4393063583815029
99.jpg,110.jpg,99.jpg,110.jpg,0.3930635838150289
70.jpg,5.jpg,5.jpg,70.jpg,0.4046242774566474
152.jpg,78.jpg,152.jpg,78.jpg,0.49710982658959535
117.jpg,29.jpg,29.jpg,117.jpg,0.3352601156069364
24.jpg,116.jpg,24.jpg,116.jpg,0.7861271676300579
91.jpg,122.jpg,91.jpg,122.jpg,0.4046242774566474
173.jpg,118.jpg,173.jpg,118.jpg,0.2774566473988439
171.jpg,39.jpg,171.jpg,39.jpg,0.4624277456647399
36.jpg,107.jpg,36.jpg,107.jpg,0.28901734104046245
48.jpg,100.jpg,100.jpg,48.jpg,0.5086705202312138
109.jpg,29.jpg,29.jpg,109.jpg,0.7630057803468208
88.jpg,98.jpg,88.jpg,98.jpg,0.4393063583815029
17.jpg,157.jpg,17.jpg,157.jpg,0.3583815028901734
23.jpg,91.jpg,23.jpg,91.jpg,0.48554913294797686
18.jpg,38.jpg,18.jpg,38.jpg,0.6473988439306358
168.jpg,117.jpg,168.jpg,117.jpg,0.08092485549132948
103.jpg,24.jpg,24.jpg,103.jpg,0.20809248554913296
129.jpg,161.jpg,129.jpg,161.jpg,0.7283236994219653
165.jpg,145.jpg,165.jpg,145.jpg,0.3815028901734104
34.jpg,58.jpg,34.jpg,58.jpg,0.8670520231213873
21.jpg,112.jpg,112.jpg,21.jpg,0.5433526011560693
113.jpg,63.jpg,63.jpg,113.jpg,0.5202312138728323
148.jpg,1.jpg,1.jpg,148.jpg,0.4277456647398844
30.jpg,136.jpg,30.jpg,136.jpg,0.08092485549132948
32.jpg,118.jpg,32.jpg,118.jpg,0.6242774566473989
73.jpg,20.jpg,20.jpg,73.jpg,0.3815028901734104
173.jpg,158.jpg,173.jpg,158.jpg,0.2658959537572254
31.jpg,151.jpg,31.jpg,151.jpg,0.47398843930635837
100.jpg,21.jpg,21.jpg,100.jpg,1.0289017341040463
33.jpg,46.jpg,33.jpg,46.jpg,0.4508670520231214
105.jpg,15.jpg,15.jpg,105.jpg,0.31213872832369943
58.jpg,16.jpg,58.jpg,16.jpg,0.7052023121387283
82.jpg,74.jpg,74.jpg,82.jpg,0.3468208092485549
34.jpg,76.jpg,34.jpg,76.jpg,0.7052023121387283
94.jpg,6.jpg,94.jpg,6.jpg,0.21965317919075145
62.jpg,167.jpg,167.jpg,62.jpg,0.6820809248554913
37.jpg,89.jpg,89.jpg,37.jpg,0.13872832369942195
85.jpg,170.jpg,85.jpg,170.jpg,0.6589595375722543
97.jpg,7.jpg,7.jpg,97.jpg,0.7861271676300579
132.jpg,31.jpg,31.jpg,132.jpg,0.10404624277456648
149.jpg,65.jpg,149.jpg,65.jpg,0.7283236994219653
34.jpg,18.jpg,34.jpg,18.jpg,0.5780346820809249
19.jpg,145.jpg,19.jpg,145.jpg,0.28901734104046245
144.jpg,52.jpg,144.jpg,52.jpg,0.2774566473988439
118.jpg,77.jpg,118.jpg,77.jpg,0.3699421965317919
140.jpg,53.jpg,140.jpg,53.jpg,0.48554913294797686
139.jpg,22.jpg,22.jpg,139.jpg,0.09248554913294797
171.jpg,122.jpg,171.jpg,122.jpg,0.3699421965317919
100.jpg,61.jpg,100.jpg,61.jpg,0.6705202312138728
16.jpg,30.jpg,30.jpg,16.jpg,0.16184971098265896
115.jpg,159.jpg,159.jpg,115.jpg,0.49710982658959535
97.jpg,3.jpg,3.jpg,97.jpg,0.4046242774566474
145.jpg,56.jpg,56.jpg,145.jpg,0.3352601156069364
150.jpg,121.jpg,150.jpg,121.jpg,0.3468208092485549
36.jpg,146.jpg,146.jpg,36.jpg,0.3699421965317919
134.jpg,51.jpg,134.jpg,51.jpg,0.30057803468208094
78.jpg,66.jpg,66.jpg,78.jpg,0.4277456647398844
41.jpg,169.jpg,169.jpg,41.jpg,0.06936416184971098
131.jpg,25.jpg,25.jpg,131.jpg,0.13872832369942195
40.jpg,83.jpg,40.jpg,83.jpg,0.30057803468208094
94.jpg,82.jpg,94.jpg,82.jpg,0.13872832369942195
151.jpg,98.jpg,151.jpg,98.jpg,0.3583815028901734
93.jpg,117.jpg,93.jpg,117.jpg,0.06936416184971098
89.jpg,18.jpg,89.jpg,18.jpg,0.3815028901734104
64.jpg,116.jpg,64.jpg,116.jpg,0.6127167630057804
156.jpg,108.jpg,156.jpg,108.jpg,0.5202312138728323
118.jpg,44.jpg,118.jpg,44.jpg,0.4508670520231214
81.jpg,168.jpg,168.jpg,81.jpg,0.31213872832369943
9.jpg,11.jpg,9.jpg,11.jpg,0.3468208092485549
26.jpg,70.jpg,26.jpg,70.jpg,0.2543352601156069
116.jpg,80.jpg,80.jpg,116.jpg,0.20809248554913296
13.jpg,7.jpg,7.jpg,13.jpg,0.6589595375722543
136.jpg,37.jpg,37.jpg,136.jpg,0.15028901734104047
66.jpg,157.jpg,66.jpg,157.jpg,0.06936416184971098
15.jpg,50.jpg,15.jpg,50.jpg,0.4046242774566474
141.jpg,170.jpg,141.jpg,170.jpg,0.7398843930635838
112.jpg,132.jpg,112.jpg,132.jpg,0.23121387283236994
94.jpg,103.jpg,94.jpg,103.jpg,0.09248554913294797
71.jpg,104.jpg,71.jpg,104.jpg,0.4508670520231214
124.jpg,1.jpg,1.jpg,124.jpg,0.17341040462427745
167.jpg,6.jpg,167.jpg,6.jpg,0.6473988439306358
9.jpg,102.jpg,9.jpg,102.jpg,0.3468208092485549
86.jpg,60.jpg,86.jpg,60.jpg,0.4508670520231214
116.jpg,123.jpg,123.jpg,116.jpg,0.2543352601156069
166.jpg,122.jpg,122.jpg,166.jpg,0.48554913294797686
44.jpg,72.jpg,44.jpg,72.jpg,0.47398843930635837
80.jpg,168.jpg,168.jpg,80.jpg,0.2774566473988439
135.jpg,94.jpg,94.jpg,135.jpg,0.11560693641618497
99.jpg,143.jpg,99.jpg,143.jpg,0.6820809248554913
69.jpg,52.jpg,69.jpg,52.jpg,0.4046242774566474
25.jpg,104.jpg,25.jpg,104.jpg,0.19653179190751446
116.jpg,74.jpg,116.jpg,74.jpg,0.3930635838150289
155.jpg,10.jpg,10.jpg,155.jpg,0.4508670520231214
73.jpg,77.jpg,73.jpg,77.jpg,0.3236994219653179
97.jpg,143.jpg,97.jpg,143.jpg,0.3815028901734104
88.jpg,81.jpg,88.jpg,81.jpg,0.28901734104046245
152.jpg,7.jpg,7.jpg,152.jpg,0.4277456647398844
61.jpg,23.jpg,23.jpg,61.jpg,0.24277456647398843
149.jpg,26.jpg,26.jpg,149.jpg,0.23121387283236994
128.jpg,54.jpg,128.jpg,54.jpg,0.3468208092485549
2.jpg,143.jpg,2.jpg,143.jpg,0.3930635838150289
171.jpg,147.jpg,171.jpg,147.jpg,0.31213872832369943
161.jpg,136.jpg,161.jpg,136.jpg,0.2658959537572254
124.jpg,154.jpg,124.jpg,154.jpg,0.4277456647398844
50.jpg,44.jpg,50.jpg,44.jpg,0.8092485549132948
32.jpg,105.jpg,32.jpg,105.jpg,0.2543352601156069
58.jpg,145.jpg,58.jpg,145.jpg,0.2774566473988439
36.jpg,59.jpg,59.jpg,36.jpg,0.3468208092485549
40.jpg,156.jpg,156.jpg,40.jpg,0.3352601156069364
128.jpg,61.jpg,128.jpg,61.jpg,0.24277456647398843
84.jpg,28.jpg,28.jpg,84.jpg,0.6820809248554913
162.jpg,52.jpg,162.jpg,52.jpg,0.23121387283236994
68.jpg,1.jpg,1.jpg,68.jpg,0.21965317919075145
146.jpg,150.jpg,150.jpg,146.jpg,0.19653179190751446
115.jpg,31.jpg,31.jpg,115.jpg,0.21965317919075145
78.jpg,16.jpg,16.jpg,78.jpg,0.4393063583815029
15.jpg,102.jpg,15.jpg,102.jpg,0.2774566473988439
144.jpg,154.jpg,154.jpg,144.jpg,0.48554913294797686
30.jpg,97.jpg,30.jpg,97.jpg,0.23121387283236994
11.jpg,141.jpg,11.jpg,141.jpg,0.6358381502890174
62.jpg,49.jpg,62.jpg,49.jpg,0.4508670520231214
35.jpg,96.jpg,35.jpg,96.jpg,0.3930635838150289
171.jpg,44.jpg,171.jpg,44.jpg,0.3352601156069364
15.jpg,113.jpg,113.jpg,15.jpg,0.4624277456647399
97.jpg,12.jpg,12.jpg,97.jpg,0.4393063583815029
56.jpg,162.jpg,56.jpg,162.jpg,0.3468208092485549
107.jpg,92.jpg,92.jpg,107.jpg,0.3236994219653179
60.jpg,88.jpg,88.jpg,60.jpg,0.28901734104046245
72.jpg,131.jpg,72.jpg,131.jpg,0.2774566473988439
45.jpg,11.jpg,11.jpg,45.jpg,0.47398843930635837
116.jpg,74.jpg,74.jpg,116.jpg,0.31213872832369943
99.jpg,133.jpg,99.jpg,133.jpg,0.3699421965317919
61.jpg,9.jpg,9.jpg,61.jpg,0.2774566473988439
10.jpg,164.jpg,10.jpg,164.jpg,0.4508670520231214
93.jpg,29.jpg,29.jpg,93.jpg,0.23121387283236994
143.jpg,168.jpg,168.jpg,143.jpg,0.10404624277456648
162.jpg,5.jpg,5.jpg,162.jpg,0.4046242774566474
36.jpg,37.jpg,36.jpg,37.jpg,0.18497109826589594
47.jpg,43.jpg,47.jpg,43.jpg,0.4161849710982659
7.jpg,117.jpg,7.jpg,117.jpg,0.06936416184971098
38.jpg,69.jpg,69.jpg,38.jpg,0.4277456647398844
130.jpg,32.jpg,32.jpg,130.jpg,0.4277456647398844
109.jpg,123.jpg,123.jpg,109.jpg,0.4046242774566474
13.jpg,106.jpg,13.jpg,106.jpg,0.4624277456647399
107.jpg,149.jpg,149.jpg,107.jpg,0.28901734104046245
14.jpg,96.jpg,96.jpg,14.jpg,0.4393063583815029
57.jpg,12.jpg,12.jpg,57.jpg,0.48554913294797686
163.jpg,19.jpg,163.jpg,19.jpg,0.48554913294797686
151.jpg,18.jpg,18.jpg,151.jpg,0.5202312138728323
26.jpg,132.jpg,26.jpg,132.jpg,0.11560693641618497
169.jpg,77.jpg,169.jpg,77.jpg,0.2543352601156069
5.jpg,65.jpg,5.jpg,65.jpg,0.2774566473988439
159.jpg,57.jpg,159.jpg,57.jpg,0.3583815028901734
22.jpg,69.jpg,22.jpg,69.jpg,0.2774566473988439
50.jpg,45.jpg,45.jpg,50.jpg,0.5433526011560693
25.jpg,67.jpg,25.jpg,67.jpg,0.11560693641618497
92.jpg,110.jpg,92.jpg,110.jpg,0.2774566473988439
109.jpg,41.jpg,109.jpg,41.jpg,0.20809248554913296
103.jpg,2.jpg,2.jpg,103.jpg,0.2658959537572254
55.jpg,14.jpg,14.jpg,55.jpg,0.4161849710982659
133.jpg,152.jpg,152.jpg,133.jpg,0.2543352601156069
138.jpg,156.jpg,156.jpg,138.jpg,0.16184971098265896
88.jpg,33.jpg,88.jpg,33.jpg,0.3468208092485549
114.jpg,66.jpg,66.jpg,114.jpg,0.23121387283236994
7.jpg,71.jpg,7.jpg,71.jpg,0.2658959537572254
58.jpg,24.jpg,24.jpg,58.jpg,0.4046242774566474
49.jpg,150.jpg,150.jpg,49.jpg,0.08092485549132948
172.jpg,119.jpg,172.jpg,119.jpg,0.4393063583815029
90.jpg,85.jpg,85.jpg,90.jpg,0.28901734104046245
147.jpg,156.jpg,156.jpg,147.jpg,0.30057803468208094
57.jpg,116.jpg,116.jpg,57.jpg,0.3699421965317919
164.jpg,125.jpg,164.jpg,125.jpg,0.4277456647398844
56.jpg,35.jpg,35.jpg,56.jpg,0.2543352601156069
151.jpg,99.jpg,99.jpg,151.jpg,0.3583815028901734
70.jpg,21.jpg,70.jpg,21.jpg,0.4161849710982659
160.jpg,8.jpg,8.jpg,160.jpg,0.49710982658959535
14.jpg,50.jpg,50.jpg,14.jpg,0.5664739884393064
34.jpg,125.jpg,34.jpg,125.jpg,0.17341040462427745
32.jpg,122.jpg,32.jpg,122.jpg,0.2658959537572254
29.jpg,132.jpg,29.jpg,132.jpg,0.13872832369942195
25.jpg,37.jpg,25.jpg,37.jpg,0.09248554913294797
13.jpg,49.jpg,13.jpg,49.jpg,0.28901734104046245
15.jpg,48.jpg,48.jpg,15.jpg,0.5895953757225434
63.jpg,65.jpg,63.jpg,65.jpg,0.30057803468208094
161.jpg,22.jpg,22.jpg,161.jpg,0.2658959537572254
94.jpg,156.jpg,94.jpg,156.jpg,0.15028901734104047
80.jpg,153.jpg,153.jpg,80.jpg,0.3236994219653179
29.jpg,38.jpg,29.jpg,38.jpg,0.19653179190751446
110.jpg,68.jpg,110.jpg,68.jpg,0.4046242774566474
126.jpg,99.jpg,99.jpg,126.jpg,0.3352601156069364
113.jpg,37.jpg,113.jpg,37.jpg,0.13872832369942195
34.jpg,135.jpg,34.jpg,135.jpg,0.2774566473988439
118.jpg,42.jpg,42.jpg,118.jpg,0.31213872832369943
62.jpg,82.jpg,62.jpg,82.jpg,0.2658959537572254
102.jpg,13.jpg,13.jpg,102.jpg,0.3352601156069364
97.jpg,114.jpg,114.jpg,97.jpg,0.3468208092485549
10.jpg,46.jpg,46.jpg,10.jpg,0.4624277456647399
53.jpg,72.jpg,72.jpg,53.jpg,0.23121387283236994
145.jpg,45.jpg,45.jpg,145.jpg,0.2774566473988439
75.jpg,143.jpg,75.jpg,143.jpg,0.24277456647398843
83.jpg,103.jpg,103.jpg,83.jpg,0.12716763005780346
109.jpg,71.jpg,109.jpg,71.jpg,0.3468208092485549
2.jpg,158.jpg,2.jpg,158.jpg,0.47398843930635837
168.jpg,87.jpg,87.jpg,168.jpg,0.3352601156069364
55.jpg,136.jpg,55.jpg,136.jpg,0.16184971098265896
36.jpg,58.jpg,58.jpg,36.jpg,0.28901734104046245
53.jpg,142.jpg,142.jpg,53.jpg,0.24277456647398843
67.jpg,35.jpg,35.jpg,67.jpg,0.24277456647398843
66.jpg,10.jpg,10.jpg,66.jpg,0.3583815028901734
64.jpg,82.jpg,64.jpg,82.jpg,0.20809248554913296
151.jpg,164.jpg,164.jpg,151.jpg,0.3699421965317919
150.jpg,80.jpg,80.jpg,150.jpg,0.4277456647398844
45.jpg,162.jpg,45.jpg,162.jpg,0.3699421965317919
93.jpg,148.jpg,93.jpg,148.jpg,0.49710982658959535
